Match,FF_CLUSTER_THEME,FF_SCOPE,FF_FOCUS,FF_TOPIC,Group_name,Group_type,Topic,Catalogue_category,Sub_category,URL,Recommendation_s__output_s_,Co_chairs,Contact_email,Count
No,Data lifecycle,Implementation,Collaboration,Fostering a broader community of practitioners,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,Data lifecycle,Implementation,Costs,data for philanthropy / what data funders might contribute,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,Data lifecycle,Policy alignment,Sustainability,Environmental Sustainability of data,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,Data lifecycle,Policy alignment,Sustainability,funder alignment on issues related to research data,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,Open Access,Implementation,Collaboration,Approaches to AHSS data and OA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,Open Access,Policy alignment,Incentives,Diamond Open Access,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,Open Access,Policy alignment,Incentives,Open Access,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,Open Access,Policy alignment,Incentives,open access mandates,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,Open Science / Open Research Commons,Implementation,Business models,Sustainable business models for RDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,Open Science / Open Research Commons,Implementation,impact,Open Science Monitoring,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,Open Science / Open Research Commons,Implementation,Sustainability,increasing diversity of funding avenues,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,Open Science / Open Research Commons,Policy alignment,alignment,"Principles to Implementations, like TRUST principles to certifications",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,Open Science / Open Research Commons,Policy alignment,Collaboration,Joint funding of projects on open science,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,Open Science / Open Research Commons,Policy alignment,Collaboration,Links between Science Data and Government Data initiatives,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,Open Science / Open Research Commons,Policy alignment,Collaboration,Opportunities for collaborative funding at a global scale,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,Open Science / Open Research Commons,Policy alignment,Collaboration,Opportunities for joint calls,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,Open Science / Open Research Commons,Policy alignment,Collaboration,policy compatibility among funding agencies,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,Open Science / Open Research Commons,Policy alignment,Costs,"Funding allocation for OS at a national level - who, how, priorities",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,Open Science / Open Research Commons,Policy alignment,impact,"Trends in research funding (e.g. use of Monte Carlo decision tools, etc.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,Open Science / Open Research Commons,Policy alignment,Sustainability,Sharing of agency practices to identify where joined up efforts can support the research community,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
No,RDA,Economics,Sustainability,financial sustainability of RDA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
